# frame +z -z 
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 1
11 0 2
12 0 5
13 0 6
14 0 8
15 0 10
16 0 12
17 0 15
18 0 17
19 0 19
20 0 20
21 0 22
22 0 25
23 0 30
24 0 33
25 0 35
26 0 38
27 0 41
28 0 43
29 0 44
30 0 46
31 0 48
32 0 51
33 0 53
34 0 57
35 0 58
36 0 58
37 0 61
38 0 62
39 0 65
40 0 66
41 0 68
42 0 71
43 0 73
44 0 76
45 0 78
46 0 81
47 0 84
48 0 87
49 0 89
50 0 91
51 0 93
52 0 96
53 0 99
54 0 101
55 0 104
56 0 106
57 0 108
58 0 110
59 0 112
60 0 115
61 0 117
62 0 119
63 0 123
64 0 124
65 0 127
66 0 131
67 0 132
68 0 134
69 0 137
70 0 139
71 0 142
72 0 145
73 0 149
74 0 153
75 0 155
76 0 159
77 0 161
78 0 164
79 0 167
80 0 167
81 0 170
82 0 171
83 0 174
84 0 176
85 0 178
86 0 180
87 0 182
88 0 184
89 0 188
90 0 191
91 0 193
92 0 195
93 0 198
94 0 202
95 0 204
96 0 205
97 0 208
98 0 210
99 0 213
100 0 215
101 0 217
102 0 220
103 0 226
104 0 227
105 0 229
106 0 231
107 0 235
108 0 237
109 0 240
110 0 244
111 0 246
112 0 248
113 0 251
114 0 253
115 0 256
116 0 259
117 0 261
118 0 265
119 0 266
120 0 271
121 0 273
122 0 276
123 0 279
124 0 281
125 0 283
126 0 286
127 0 288
128 0 291
129 0 292
130 0 294
131 0 296
132 0 299
133 0 300
134 0 302
135 0 303
136 0 303
137 0 307
138 0 308
139 0 309
140 0 312
141 0 316
142 0 319
143 0 320
144 0 322
145 0 326
146 0 329
147 0 330
148 0 333
149 0 336
150 0 339
151 0 341
152 0 345
153 0 348
154 0 350
155 0 351
156 0 353
157 0 355
158 0 359
159 0 362
160 0 364
161 0 367
162 0 369
163 0 369
164 0 371
165 0 373
166 0 374
167 0 374
168 0 378
169 0 381
170 0 384
171 0 388
172 0 392
173 0 396
174 0 398
175 0 400
176 0 402
177 0 403
178 0 406
179 0 408
180 0 411
181 0 412
182 0 414
183 0 417
184 0 417
185 0 419
186 0 419
187 0 423
188 0 426
189 0 428
190 0 431
191 0 433
192 0 436
193 0 438
194 0 441
195 0 442
196 0 444
197 0 447
198 0 450
199 0 454
200 0 456
